Philippines,フィリピン,1
Thailand,タイ,1
Vietnam,ベトナム,1
Myanmar,ミャンマー,1
Malaysia,マレーシア,1
Italy,イタリア,2
France,フランス,2
Germany,ドイツ,2
Spain,スペイン,2
UnitedKingdom,イギリス,2
Netherlands,オランダ,2
United States,アメリカ合衆国,3
Canada,カナダ,3
Mexico,メキシコ,3
Barbados,バルバドス,3
Australia,オーストラリア,4
NewZealand,ニュージーランド,4
Fiji,フィジー,4
EastTimor,東ティモール,4
Turkey,トルコ,5
Israel,イスラエル,5
UnitedArabEmirates,アラブ首長国連邦,5
Jordan,ヨルダン,5
Brazil,ブラジル,6
Argentina,アルゼンチン,6
Chile,チリ,6
Egypt,エジプト,7
Morocco,モロッコ,7
Kenya,ケニア,7
Ethiopia,エチオピア,7
SouthAfrica,南アフリカ,7
Zimbabwe,ジンバブエ,7